email,group,promotional_email_subject,click
bahirahdewiana8d4@online.ms,treatment,personalization,0
abdurrahmanagoengxzq@sharedmailbox.org,treatment,personalization,1
zaituniratuj4@ma.nl,control,generic,0
arifineffendy8@heerschap.com,treatment,personalization,1
bulannafizah1i@informaticos.com,control,generic,0
latip3@fakemailz.com,treatment,personalization,0
shafiyahwp@thirdage.com,treatment,personalization,0
chaerunisa@motormania.com,control,generic,0
bungam@teenagedirtbag.com,control,generic,0
lianggemiujf@clrmail.com,control,generic,0
nadhasadiahn@mail2ok.com,treatment,personalization,0
nadha@netster.com,treatment,personalization,0
ichsanefendit1@e-mail.com.tr,control,generic,0
anesmuhtadisqr@sunsgame.com,treatment,personalization,0
atiah09@mail2tv.com,control,generic,0
nadimahnurmalaxk@powerdivas.com,treatment,personalization,0
chaidarcatur@postmaster.co.uk,control,generic,1
fitriani_q@mail2peter.com,control,generic,0
cucumisbahml@ieh-mail.de,control,generic,0
hafizanediat4q@myphantomemail.com,control,generic,0
meilianafadhilab@muslim.com,treatment,personalization,0
arifinzulkarnaenlr6@mail2carolyn.com,control,generic,0
tousamulyaningsihk@mail2concert.com,treatment,personalization,0
alzenaparidahbk@net-c.lu,treatment,personalization,0
rexy@2die4.com,control,generic,0
syamsiah@solvemail.info,control,generic,0
khairunisaekobxf@ihateclowns.com,control,generic,0
putu4c@stop-my-spam.pp.ua,treatment,personalization,0
ikramullah@europe.com,control,generic,1
dellia7k@email2me.com,treatment,personalization,0
cahyamahadewixt@mail2swiss.com,control,generic,0
mursyidaal@zing.vn,control,generic,0
kartikauh9@mail2hera.com,control,generic,0
basyire@mail3000.com,control,generic,0
nurhasanahu@mailms.com,control,generic,0
mardiahhanifahs@ok.net,treatment,personalization,0
waqidarifin@the-galaxy.net,treatment,personalization,0
rahmantimotiuss@mail2dominicanrepublic.com,control,generic,0
chairunisayb@freemail.de,treatment,personalization,0
waliyuddinlu@yapped.net,treatment,personalization,0
galuh53@the-quickest.com,treatment,personalization,0
nurq@telinco.net,treatment,personalization,0
citra5@wongfaye.com,control,generic,0
basuki@mail2jessie.com,control,generic,0
prijonov@yopmail.org,control,generic,0
raja02@calidifontain.be,treatment,personalization,0
darmawany@guerrillamail.net,treatment,personalization,0
mubarokz9h@mail2tickets.com,control,generic,0
retifahafidzah6@altavista.com,control,generic,1
ibrahimmansyur9_@fastmail.gr,treatment,personalization,0
sofyansesark7b@postafree.com,control,generic,1
nirmala4@mail2howard.com,treatment,personalization,0
alif@wombles.com,treatment,personalization,1
nurjannah_@mynetstore.de,treatment,personalization,0
lutfiah@mail2pennsylvania.com,treatment,personalization,0
malikussalehmuhyiddinqw@fromidaho.com,control,generic,0
azizul3@mail2genes.com,treatment,personalization,0
naniksetiawatiza@humanux.com,control,generic,0
afendyprabowo@collectiblesuperstore.com,control,generic,1
meutiaetifn@o2.co.uk,treatment,personalization,0
lintangs@turboprinzessin.de,control,generic,0
zulfikriprijono@aahlife.com,control,generic,0
effendiy@frommissouri.com,treatment,personalization,0
abdillahn@coolmail.com,treatment,personalization,1
erwianayunitahx@casualdx.com,control,generic,0
desiyantikartikabn1@scanova.in,control,generic,0
saifuddin@mail2rich.com,control,generic,1
ratnacandray@i-p.com,treatment,personalization,1
hafizahrivinarpe@wolke7.net,control,generic,0
wisnuprasetyov9q@from-argentina.com,control,generic,0
firmanmemetk@evertonfans.com,control,generic,0
maemunahmeilianau@ist-ganz-allein.de,treatment,personalization,0
prettychodijahhk@minermail.com,treatment,personalization,0
fahmiagoengy@thelanddownunder.com,treatment,personalization,0
xaveriusmegoi@mailgate.gr,treatment,personalization,0
humaidahazizaha@inet.net.au,treatment,personalization,0
airlanggariwin0s@boxbg.com,control,generic,0
masudah86c@yyhmail.com,control,generic,0
cahyaningsihmulyaningsihps@mail2care.com,treatment,personalization,0
nimahcute@wonder-net.com,treatment,personalization,0
zaenabr@luukku.com,treatment,personalization,0
cahayagp@centrum.sk,treatment,personalization,0
luthfie@marfino.net,control,generic,0
sopiahhusniyah2u5@mail2kerry.com,treatment,personalization,0
amsala@worldemail.com,control,generic,0
iwanix0@fleckens.hu,control,generic,1
waqidk@from-china.net,control,generic,0
linggajf@bullsgame.com,control,generic,0
lestarii@ru.ru,control,generic,0
surianasyahnaz36@cute-girl.com,treatment,personalization,1
bernardia_@easypeasy.com,treatment,personalization,0
tijahlestarigw@live.com.ar,control,generic,0
shofiahipah@mail2iran.com,treatment,personalization,0
trisyamsiah_5@mail2kendall.com,treatment,personalization,0
purnamasamiyahu@ajacied.com,control,generic,0
budionoze@toomail.biz,treatment,personalization,0
faishalzikrikf7@mail2dominica.com,treatment,personalization,0
suparmanr@nexxmail.com,control,generic,0
mustofav6@mail2bruce.com,control,generic,0
abdulazisarifsnd@telefonica.net,treatment,personalization,0
kusumofransiskosdz@the-marine.com,treatment,personalization,0
khairiyahsetyaningsihbux@hotmail.co.uk,treatment,personalization,0
nurdiniln@berlin.de,treatment,personalization,0
masturahr3@theraces.com,treatment,personalization,1
amierkomarudinnb@noblepioneer.com,control,generic,0
suwarnob@centermail.at,control,generic,0
sukarnoibrohimjg@ieh-mail.de,control,generic,0
jadidrh@my10minutemail.com,control,generic,0
puspamahendri9@mail2psychologist.com,control,generic,0
soekarnoandrix8@yaho.com,treatment,personalization,0
kameliakhairunnisa19e@lopezclub.com,treatment,personalization,0
suryanidillahs8s@mail2seattle.com,treatment,personalization,0
komariahwayanw@jetable.de,control,generic,0
musliminadityoy5@cosmo.com,control,generic,1
wisnubrotoh@mail2philippines.com,treatment,personalization,1
fajarbethariu7@truthmail.com,control,generic,1
mahadewip1@contractor.net,control,generic,1
tirtaasih5o@zxcv.com,treatment,personalization,1
keumaladillahzy@ntlworld.com,treatment,personalization,1
faridah@vovan.ru,treatment,personalization,0
hamdiah0@discard.ga,control,generic,1
edhiewawan08l@uswestmail.net,treatment,personalization,1
memedb@linuxmail.org,control,generic,0
vinaluthfiah@indexa.fr,control,generic,0
hayatiwulanc@viditag.com,treatment,personalization,0
latipawandiek@mail2wayne.com,treatment,personalization,1
sudartomuinm@mail2jennifer.com,control,generic,0
gunawana@ezagenda.com,control,generic,0
audjahe@classicalfan.com,control,generic,1
agoesu@backwards.com,control,generic,0
maimunah@otakumail.com,control,generic,0
kamelial@mydomain.com,treatment,personalization,0
komarudinx@freeuk.com,treatment,personalization,0
junaidiv@mancity.net,control,generic,0
fandyb@latinmail.com,control,generic,0
zulkiflyu6g@mailnator.com,treatment,personalization,0
suryawan6@mailtag.com,treatment,personalization,0
fatmawatil@meine-fotos.info,control,generic,0
fadilahsod@mail2danny.com,treatment,personalization,1
aneso@cheyenneweb.com,control,generic,0
shafafitrianahomb@33mail.com,control,generic,0
nurdin34@complxmind.com,treatment,personalization,0
sustrililinf@mail2cowboy.com,treatment,personalization,0
bagus62@mantraonline.com,control,generic,0
hakiemsoeriantowe9@city2city.com,treatment,personalization,0
ayubismatullahr@terra.cl,control,generic,1
erviana6@mail2robert.com,treatment,personalization,1
effendywiramng@girlsundertheinfluence.com,treatment,personalization,1
yacubx2@diplomats.com,control,generic,0
saripalar@mail2queen.com,treatment,personalization,0
soeriantorohim7@celtic.com,treatment,personalization,0
maimunahkalsum6@mail2hugh.com,treatment,personalization,0
hamengkubuwonomukhlis0w@hotmail.my,treatment,personalization,0
evanova@mail2tom.com,control,generic,0
bagusmahmudsxo@fizmail.com,treatment,personalization,0
megawatihumairahbo4@mail2airbag.com,treatment,personalization,1
fatimahaj@126.net,treatment,personalization,0
aliezn@mail2millionaire.com,control,generic,1
dilahv2l@mittalweb.com,control,generic,0
priyantozulkipli@mail2andrea.com,treatment,personalization,0
husing@windstream.net,control,generic,0
hayuhasanah6@marana.com,control,generic,0
yonathanhanung5@mailite.com,control,generic,0
chairunnisarivina@centoper.it,control,generic,0
nafisahaeo@showfans.com,control,generic,1
budhyhawaril@mail2horse.com,control,generic,0
faizal@butch-femme.net,control,generic,0
hamimahapfia8@flashbox.5july.org,treatment,personalization,0
rizkifrizar@chaiyo.com,control,generic,0
muchamadmuslimyq@tech-center.com,treatment,personalization,0
argo00@explodemail.com,control,generic,1
yunita@cashette.com,treatment,personalization,0
nurdin@vorsicht-bissig.de,control,generic,1
anesj@edtnmail.com,treatment,personalization,1
adithya7l@thai.com,control,generic,0
frisaratnae@susi.ml,control,generic,0
nurhayati7@blumail.org,control,generic,0
ridho4h@pluno.com,control,generic,0
khairuddinrachmank1@bigboab.com,control,generic,0
khodijahwilsappf@allmail.net,treatment,personalization,1
norjannah@jetable.com,control,generic,0
juwariyahamirahg_r@visualcities.com,treatment,personalization,0
muzaimah94@stuffmail.de,control,generic,0
andhika@netizen.com.ar,control,generic,0
humairah1sr@mail2worship.com,control,generic,0
gandungpatriot1@yapped.net,treatment,personalization,1
solihyatno@dyndns.org,treatment,personalization,0
wiraf7@montevideo.com.uy,control,generic,0
muslimh@web-police.com,treatment,personalization,0
suhailiendangnxk@positive-thinking.com,control,generic,0
aziembayu6s@instantmail.fr,control,generic,0
faesalbaskoro@coolgoose.com,control,generic,0
darmawati9qw@thepostmaster.net,control,generic,0
wisnusaktie@flashemail.com,treatment,personalization,1
endangmarce1@e-mail.ua,control,generic,1
zulkhairiayubl@altavista.net,treatment,personalization,1
putifo@itloox.com,control,generic,0
yatnomh4@lazyinbox.com,treatment,personalization,0
redhan@mail2wired.com,control,generic,0
asepjamiluddinbg@mini-mail.com,control,generic,0
hidayatdarwisp0@mail2canada.com,treatment,personalization,0
dilah7x@ljiljan.com,treatment,personalization,0
wulandariz9@emails.ga,control,generic,0
fadhilahmarcez@mail2bob.com,treatment,personalization,0
aziswibawav9@lifebyfood.com,control,generic,0
akmadia@fake-email.pp.ua,control,generic,0
nimas2@disign-revelation.com,control,generic,0
desiyanti_@hotletter.com,treatment,personalization,0
abramai@coldmail.com,control,generic,0
theressiakadek1mq@hotmail.com.tr,treatment,personalization,0
ikrimahciptan@inbox.lv,control,generic,1
darmawatiu@activist.com,control,generic,0
durahmanz@outlook.co.th,treatment,personalization,1
deuisgo4@technologist.com,control,generic,0
noerdinbo@mail2alyssa.com,treatment,personalization,0
kuwate@5ghgfhfghfgh.tk,control,generic,0
feriscachaerunnisag6t@homeworkcentral.com,treatment,personalization,0
ngurahaditiazy@mobilbatam.com,control,generic,0
manzamzam3x@mail2eat.com,treatment,personalization,1
husinzulkiflyv@mail2greg.com,control,generic,0
marnou2@mail2lucy.com,treatment,personalization,0
marzukizhali5f@ezagenda.com,treatment,personalization,0
anindya@mail2buy.com,control,generic,0
anisahs@mail2tonga.com,treatment,personalization,1
setiawan6@birdowner.net,control,generic,0
hartinahannisahh2@speedpost.net,control,generic,1
sofyan5@get2mail.fr,control,generic,0
amranq2@legalrc.loan,control,generic,0
setyawana0q@lavabit.com,control,generic,1
aminullahsukarno@suomi24.fi,treatment,personalization,0
maulanav3@techseek.com,control,generic,0
atmayan9_d@mail-awu.de,control,generic,1
salahuddinedhi5@jazzandjava.com,control,generic,0
titikwds@mail2don.com,treatment,personalization,0
akbarpriyantox1@z9mail.com,control,generic,0
tembangki@mail2mypalm.com,control,generic,0
